coll_id	guid
BERNA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2260e6b2-01dc-4072-a4df-8fd1083b93dc
BERNC	http://isni.org/isni/0000000054835960
BERRIE	http://www.ipni.org/ipni/idAuthorSearch.do?id=16022-1
BERTC1	http://www.wikidata.org/entity/Q2959038
BGNJS	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=44551
BICKC	https://www.ipni.org/ipni/idAuthorSearch.do?id=772-1
BILID	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=41811
BINGM	http://www.wikidata.org/entity/Q26713005
BISSP	https://viaf.org/viaf/283432480/
BITTL	https://viaf.org/viaf/119513515/
BKREG	https://species.wikimedia.org/wiki/Edmund_Gilbert_Baker
BLAIS	https://species.wikimedia.org/wiki/Solange_Blaise
BLANC	https://www.ipni.org/ipni/idAuthorSearch.do?id=13883-1
BLANJ	http://www.wikidata.org/entity/Q3159964
BLL	https://species.wikimedia.org/wiki/Carl_Bolle
BLNBB	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/beeab2da-836e-445e-bf60-dbd125592670
BLOMO	http://www.ipni.org/ipni/idAuthorSearch.do?id=16220-1
BLOMU	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/661789b9-fb59-42a7-9204-01c359f6fb9b
BLSAA	http://www.wikidata.org/entity/Q66057650
BLSEJ	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=43275
BLYT1	http://www.wikidata.org/entity/Q610981
BMNKH	https://viaf.org/viaf/114280764/
BNSRY	https://species.wikimedia.org/wiki/Raymond_Benoist
BODAM	http://www.wikidata.org/entity/Q18983158
BOGDA	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=62776
BOIVL	https://www.ipni.org/ipni/idAuthorSearch.do?id=920-1
BOKDJ	https://orcid.org/0000-0001-8243-0693
BOLED	http://www.wikidata.org/entity/Q62990367
BOLF	https://species.wikimedia.org/wiki/Frank_Bolus
BOLLM	https://www.ipni.org/ipni/idAuthorSearch.do?id=16306-1
BOLUH1	https://viaf.org/viaf/39135229/
BONNP	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6bac9324-e1ac-40e0-94f5-bfee995c3950
BOORJ	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20934
BORDH	https://viaf.org/viaf/314923113/
BOSJ	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/50f2f4e4-2193-43f2-82f1-fedc6d6295bb
BOSSJ	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6e18fe90-374d-4ae0-8b43-97bd685d112e
BOTTOMLEY	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/3e3faf8e-d183-4c7d-ac27-2d4d2a07b9d0
BOUGA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/c2b57315-19d6-419e-8008-dda13b2c1a99
BOUHP	http://www.ipni.org/ipni/idAuthorSearch.do?id=38542-1
BOULA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2325d192-d5e1-41f2-bd9e-f43360614550
BOUTL	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=46074
BOUTN	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/66e806fe-a362-491a-8cdd-c7e8b5ec01f5
BOUTR	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bb2b3541-5aa4-4fda-a250-eee853375b74
BOUXG	http://www.wikidata.org/entity/Q62990299
BRAN	https://www.biodiversitylibrary.org/creator/4631
BRASL	http://www.wikidata.org/entity/Q6525437
BRAUA	http://isni.org/isni/0000000110683982
BRDHJ	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f793ea17-85a3-412c-a434-834f473372aa
BREDH	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/387e68ba-f02c-48ca-868c-7279beff878b
BREED	http://www.wikidata.org/entity/Q2479753
BRENJ	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e3b08079-0e76-4a34-9919-9b48cd2885a3
BRETF	http://www.wikidata.org/entity/Q2451725
BREUJ	http://www.wikidata.org/entity/Q21415674
BREYH	http://www.wikidata.org/entity/Q62990260
BRGEG	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1bc70b70-16d5-464d-b8ad-c13fea044e6e
BRGMA	https://viaf.org/viaf/282580064/
BRHMF	http://www.wikidata.org/entity/Q60973427
BRIDD	https://viaf.org/viaf/112128241/
BRKJJ	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=41380
BRMCE	https://www.ipni.org/ipni/idAuthorSearch.do?id=1115-1
BROAW	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0b658642-945d-453f-9045-beb6fba6a9c3
BROR	http://sdei.senckenberg.de/biographies/information.php?id=4186
BROUL	http://www.wikidata.org/entity/Q62990282
BRSTW	https://www.ipni.org/ipni/idAuthorSearch.do?id=16472-1
BRTR	https://www.biodiversitylibrary.org/creator/127106
BRUCE1	https://species.wikimedia.org/wiki/Eileen_Adelaide_Bruce
BRUMR	https://viaf.org/viaf/41921927/
BRUNA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a62f33e3-8b49-48f2-bf8d-7bd3f671b803
BRUNJ	https://viaf.org/viaf/94024540/
BRUSF	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=47920
BRYHA	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=9501
BRYNJ	http://www.wikidata.org/entity/Q62990201
BSHMG	http://www.wikidata.org/entity/Q62990371
BUCHF	https://www.biodiversitylibrary.org/creator/5515
BUCHJ	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=14971
BUCHO1	https://www.ipni.org/ipni/idAuthorSearch.do?id=1255-1
BUCKS	http://sdei.senckenberg.de/biographies/information.php?id=4419
BUJOG	http://www.wikidata.org/entity/Q12729092
BULAJ	http://www.wikidata.org/entity/Q62990203
BULLA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/c38703b6-b2cd-43f3-9344-3b241f697c03
BUNBC	https://viaf.org/viaf/37841303/
BURCW	http://www.wikidata.org/entity/Q1397207
