verbatimRecordedByID	recordedByLastName	recordedBy	recordedByID
SIMAJ	Simão	Simão J.	""
W061	Walter	Walter A.	""
GUILJ1	Guillemin	Guillemin J.B.A.	""
HERBI	Herbigneaux	Herbigneaux	""
BECHBECH	Bechler$Bechler	Bechler David & Bechler Marilyn	""
BASSM	Bässler	Bässler M.	""
K043	Klement$Steiner	Klement O. & Steiner M.	""
A018	Averhals	Averhals F.	""
LEAKC	Leakey	Leakey C.	""
RAKO	Rakotonasolo$Ranaivojaona$Ralimanana$Davis	Rakotonasolo F., Ranaivojaona R., Ralimanana H. & Davis A.P.	""
BOUIOZAN	Bouillod$Ozanon	Bouillod L. & Ozanon C.	""
HASHC	Hashimoto	Hashimoto Ch.	""
ALDO01	Aldobrandi$Baldini$Nepi	Aldobrandi G., Baldini R. & Nepi C.	""
ANGEL	Angenot	Angenot L.	""
ARCHE	Archibald	Archibald E.	""
C200	Cuba	Cuba J.	""
BLAC03	Blackmore$Brummitt$Patel	Blackmore S., Brummitt R.K. & Patel I.H.	""
FRANC	Franck	Franck C.W.	""
HAVAB	Havard	Havard B.M.E.V.	""
LUKEETAL	Luke	Luke G.	""
BOSJ	Bos	Bos J.J.	https://orcid.org/0000-0002-3983-2491
WBIASM	Würsten$Iqbal$Siska	Würsten B., Iqbal A. & Siska M.	""
D600	Gravet$Delogne	Delogne C.H. & Gravet F.	""
FLODT	Floderus	Floderus Th.	""
FISHB	Fisher	Fisher B.S.	""
CLEEA	Cleef	Cleef Antoine	""
DBSCH	De Bosschere	De Bosschere	""
CERN1	Cernohorsky	Cernohorsky	""
REINJ	Rein	Rein J.J.	""
BART11	von Barth	Barth	""
DRUAA	Druart	Druart A.	""
D741	Delrez	P.J. Delrez	""
ANTU	Antunes	Antunes J.M.	""
B162	Bujorean$Nyárady$Pop	Bujorean G., Nyarady E.I. & Pop E.	""
H449	Humphrey	Humphrey J.	""
ABBTT	Abbott	Abbott I.A.	""
WICACO	Wiens$Calvin$Congdon	Wiens D., Calvin C. & Congdon C.	""
A223	Alstrup	Alstrup V.	https://www.ipni.org/ipni/idAuthorSearch.do?id=30808-1
ODUKD	Odukwe	Odukwe D.O.	""
KANAOHAS	Kanai$Ohashi	Kanai H. & Ohashi H.	""
BACKC	Backer	Backer C.A.	""
WILBTEER	Wilbur$Teeri	Wilbur R.L. & Teeri J.A.	""
NURMJ	Nurmi	Nurmi J.	""
MENNJ	Mennema	Mennema J.	""
H079	Heikinheimo	Heikinheimo V.	https://www.ipni.org/ipni/idAuthorSearch.do?id=20140-1
H080	Hintikka	Hintikka T.J.	""
RENA1	Renault	Renault	""
NDANG	Ndangalasi	Ndangalasi H.J.	""
NEMCH	Nee	Nee M.	""
SARGF	Sargent	Sargent F.H.	""
MORL01	Morla$Costa Tenorio$Sainz Ollero	Morla C., Costa Tenorio M. & Sainz Ollero H.	""
B133	Brunnthaler	Brunnthaler J.	""
BRUMR	Brummitt	Brummitt R.	https://viaf.org/viaf/41921927/
SOVE1	Sovetkina	Sovetkina	""
SCHA01	Schatz$Razafimandimbison$Malcomber$Rakotomalala	Schatz G.E., Razafimandimbison S.G., Malcomber S.T., & Rakotomalala L.	""
YALAM	Yalala	Yalala A. M.	""
GSSJG	Gassner	Gassner J.G.	""
CRPCL	Cripps	Cripps C.L.	""
A001	Afzal	Afzal Chaudhy	""
M128	Mahindapala	Mahindapala R.	""
O001	Ohira$Murakami	Ohira & Murakami	""
C016	Cocquyt	Cocquyt C.	https://viaf.org/viaf/5182488/
H068	Harrison	Harrison E.	""
WAGEJ	Wagemans	Wagemans J.	https://viaf.org/viaf/283441660/
JPDPLS	Podpera$Laus	Podpera J. & Laus J.	""
HUKA	Huk	Huk Abdul	""
ALLEF1	Allen	Allen F.H.	""
DWGIES	De Winter$Giess	De Winter & Giess	""
KREYJ	Kreysler	Kreysler J.	""
KRGGJ	Krieglsteiner	Krieglsteiner G.	""
B899	Simon	Simon B.	""
OMRAB	Mwangangi$Abdalla	Mwangangi O.M. & Abdalla R.	""
SLEUH	Sleumer	Sleumer H.	http://viaf.org/viaf/64094401
YOKOJ	Yokoyama	Yokoyama J.	""
LOSAQ	Losa Quintana	Losa Quintana J.	""
CAST04	Castroviejo$Luceño$Pedrol	Castroviejo S., Luceño M. & Pedrol J.	""
SPEET	Peeters	Peeters S.	""
D143	Darimont	Darimont	https://www.ipni.org/ipni/idAuthorSearch.do?id=17696-1
C010	Crouch	Crouch C.	""
C009	Cleland	Cleland J.B.	""
APMAK	Apema	Apema A.K.	http://www.wikidata.org/entity/Q62990357
BLACOSBO	Blackmore$Osborne$Dudley	Blackmore S., Osborne P.L. & Dudley C.D.	""
MUENW	Muenscher	Muenscher W.C.	""
ROXBW	Roxburgh	Roxburgh W.	https://viaf.org/viaf/40160036/
K065	Kodama	Kodama T.	""
ANDRE1	Andre	Andre E.F.	""
DUPR1	Dupré	Dupré	""
A007	Acha	Acha A.	""
FRIIGETA	Friis$Getachew$Rasmussen$Vollesen	Friis I., Getachew A., Rasmussen F. & Vollesen K.	""
WIELR	Wieland	Wieland Roland G.	""
G013	Gaie	Gaie W.	""
DELNAT	Delnatte$Bun	Delnatte C. & Bun S.	""
KASHDEGU	Kashiwadani$Deguchi	Kashiwadani H. & Deguchi H.	""
FRAN1	Frank	Frank J.C.	https://www.ipni.org/ipni/idAuthorSearch.do?id=2876-1
GIBE1	Gibelli	Gibelli	""
MARTB	Martin	Martin B.	""
SCHAM	Schaijes	Schaijes M.	https://viaf.org/viaf/216197654/
M177	Mullin	Mullin L.	""
W001	Westendorp	Westendorp G.-D.	https://viaf.org/viaf/287845659/
DBCDG	Debouck	Debouck D.G.	""
FRITR	Fritze	Fritze R.	https://www.ipni.org/ipni/idAuthorSearch.do?id=2925-1
P068	Pazschke	Pazschke O.	https://www.ipni.org/ipni/idAuthorSearch.do?id=24663-1
ARMIF	Armitage	Armitage F.B.	""
STDNS	Steyermark$Dunsterville	Steyermark J.A. & Dunsterville G. C.K.	""
HUNTK	Huntley	Huntley K.D.	""
LSAR	Loos	Loos Arthur	""
S753	Scheerlinck$Scheerlinck	Scheerlinck E. & Scheerlinck H.	""
SCHI11	Schiller	Schiller	""
STEFJ	Stefani	Stefani J.	""
H020	Harrick	Harrick R.	""
H019	Holland	Holland P.C.	""
P127	Mágócsy-Dietz$Polgár	Mágócsy-Dietz A. & Polgár S.	""
N743	Von Nägeli	Von Nägeli C.W.	""
CPSCWD	Coppejans$Pongparadon$Chaitum$Darak	Coppejans E., Pongparadon S., Chaitum W. & Darak	""
K965	Kemka	Kemka N.	""
DRE	De Reuss	De Reuss Eq.	""
ESTIP	Estival	Estival P.V.	""
GLEBLY	Lebailly	Lebailly G.	""
L065	Lage	Lage F.	""
G731	Grout	Grout A.J.	""
MELVL	Melvin	Melvin Lionel	""
