verbatimRecordedByID	recordedByLastName	recordedBy	recordedByID
B072	Bouquiaux	Bouquiaux	""
V056	van Hooff$Nannenga-Bremekamp	van Hooff H.A. & Nannenga-Bremekamp N.	""
BGNCR	Bagnis	Bagnis C.	""
HATHATSIL	Hatschbach$Hatschbach$Silva	Hatschbach G., Hatschbach M. & Silva J.M.	""
M897	Milenge Kamalebo	Milenge Kamalebo H.	""
HERIB	Heritage	Heritage B.	""
CMTSB	Comtet	Comtet S.	""
HANCH	Hance	Hance H.F.	""
HARTJ	Hart	Hart J.	""
MILLJ1	Milliat	Milliat J.	""
TIMKG	Timkó	Timkó G.	""
C151	Common	Common R.	https://www.ipni.org/ipni/idAuthorSearch.do?id=20003483-1
KURT01	Kurtto$Vuokko	Kurtto A. & Vuokko S.	""
W036	Wunsch$Wunsch	Wunsch M. & Wunsch H.	""
N007	Neubert	Neubert H.	https://viaf.org/viaf/171878794/
STARA	Starzeński	Starzeński A.	https://viaf.org/viaf/308287084/
SPALH	Spalding	Spalding H.H.	""
R011	Ruttenberg	Ruttenberg M.	""
C052	Crappe	Crappe N.	""
JHNEW	Johannesen	Johannesen E.W.	https://www.ipni.org/ipni/idAuthorSearch.do?id=20998-1
KOTEE	Koteja	Koteja E.	""
NORDA	Nordström	Nordström Asel	""
TOPALAZA	Topa$Lazar	Topa E. & Lazar M.	""
BRENA	Brenez	Brenez A.	""
LOVEKAYO	Lovett$Kayombo	Lovett J. & Kayombo C.J.	""
CELAM	Celan	Celan M.	""
DIER1	Dierbach	Dierbach	""
SBRG001	Sandberg	Sandberg C.	""
WOLFC	Wolf	Wolf C.B.	""
D087	Drummond	Drummond J.V.A.	""
BDLCKB	Bidault$Lachenaud$Ikabanga	Bidault E., Lachenaud O. & Ikabanga D.	""
PSSHA	Poisson	Poisson H.L.	""
DOMIK	Domin	Domin K.	""
BRJNJ	de Bruijn	de Bruijn J.	""
HUBBF	Hubbard	Hubbard F.T.	""
RAZAA	Razanatsima	Razanatsima A.	""
NGMMDE	Ngombe Mamadou	Ngombe Mamadou E.	""
MCCRA	McCrary	McCrary A.	""
DESCHR01	Deschâtres	Deschâtres R.	""
H127	Henderson	Henderson D.M.	""
P023	Pourtois	Pourtois A.	""
NVTNH	Nguyen$Nguyen	Nguyen V.T. & Nguyen H.D.	""
MACLC	Maclaud	Maclaud C.	""
DECHR	Dechamps	Dechamps R.	https://viaf.org/viaf/75428387/
BRIXA	Brixhe	Brixhe A.	""
T993	Tomin	Tomin M.P.	http://viaf.org/viaf/115145067192066631326
MUTHUL	Muts$Hulstaert	Muts in Hulstaert	""
RKTED	Rakotoniaina	Rakotoniaina E.	""
SMEYF	Smeyers	Smeyers F.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2a1ba9d4-a18a-4b05-8084-ba7b1186adce
TROUG	Troupin	Troupin G.	https://viaf.org/viaf/67849192/
BATTE	Battiscombe	Battiscombe E.	""
BROWR	Brown	Brown Roy C.	""
F042	Filárszky	Filárszky F.	""
F961	Fahrendorff	Fahrendorff E.	https://www.ipni.org/ipni/idAuthorSearch.do?id=18626-1
JAHNA	Jahn	Dr. Alfredo Jahn	""
STOLAW	Stocks$Law	Stocks & Law	""
CAMFRAN	Francotte	Francotte C.	""
BNDEG	Bendiksen	Bendiksen E.	""
KEPPJ	Kepparinen	Kepparinen J.	""
KESSP	Kessler	Kessler Peggy-Ann	""
PEIRF	Peirson	Peirson F.W.	""
WOMEJ	Womersley	Womersley J.S.	""
F019	Fowler	Fowler L.M.	""
LEACBRUN	Leach$Brunton	Leach L.C. & Brunton T.	""
F020	Fries	Fries R.E.	""
HONED	Hone	Hone D.	""
C204	Conklin	Conklin H.C.	""
WALT03	Walters$Harris	Walters G.M. & Harris D.J.	""
BAULETMAL	Baudesson$Leteinturier$Malaisse	Baudesson T., Leteinturier B. & Malaisse F.	""
LOFGA	Löfgren	Löfgren A.	""
MEYEF1	Meyer	Meyer F.G.	""
NIESJ	Niessen	Niessen J.	""
PATTH	Patterson	Patterson H.N.	""
TRHGN	Téré	Téré H.	""
BARR02	Barreno$Crespo$Bueno$Sancho	Barreno E., Crespo A., Bueno A. & Sancho L.	""
Y002	Yarwood	Yarwood C.	""
R01	Rasmussen$Esbensen	Rasmussen, Kaj & Esbensen, Westy	""
LCRXIF	LaCroix	LaCroix I.F.	""
BLL	Bolle	Bolle Carl	https://www.ipni.org/ipni/idAuthorSearch.do?id=16300-1
MONC	Monro	Monro C.	""
P751	Pacyna	Pacyna A.	""
SGHHS	Seghal	Seghal H.S.	""
SUCRD	Sucre	Sucre D.	""
ANGEO	Angerer	Angerer O.	""
GOME01	Gomez$Martinez$Villar	Gomez D., Martinez A. & Villar L.	""
BELL01	Bellia$Saba	Bellia G.& Saba G.	""
MIQUF	Miquel	Miquel F.A.W.	""
D429	Duvigneaud$Vanden Berghen	Duvigneaud P. & Vanden Berghen C.	""
HOLME	Holmes	Holmes E.M.	https://www.ipni.org/ipni/idAuthorSearch.do?id=4053-1
VKA	Van Kelecom	Van Kelecom A.	""
TRELJ	Trela	Trela J.	""
N791	Nicolack$Ribas	Nicolack V. & Ribas O.S.	""
HENH01	Hensen	Hensen H.	""
PANECALZ	Panero$Calzada	Panero J.L. & Calzada J.I.	""
M055	McHugh	McHugh R.	https://www.ipni.org/ipni/idAuthorSearch.do?id=23156-1
C057	Clerk	Clerk N.T.	""
PHELR	Phelps	Phelps R.J.	""
M952	Mielichhofer	Mielichhofer M.	""
BGNJS	Bogner	Bogner J.	https://www.ipni.org/ipni/idAuthorSearch.do?id=906-1
ROCHR	Rocha	Rocha Ramon	""
N052	Novozhilov	Novozhilov Y.	""
MASIM	Masiye	Masiye M.J.	""
COMPP	Compère	Compère P.	https://viaf.org/viaf/43239170/
REIC01	Reichelt	Reichelt H.	""
BLOC1	Blochouse	Blochouse	""
KIND01	Kindeketa$Simon$Mlangwa$Mollel$Kamitses	Kindeketa W., Simon G., Mlangwa J., Mollel M. & Kamitses A.	""
DEPLE	Deplanche	Deplanche E.	https://www.ipni.org/ipni/idAuthorSearch.do?id=20007273-1
LOMAA	Lomax	Lomax A.E.	""
MESZS	Mészáros	Mészáros S.	""
B067	Berkeley$Broome	Berkeley & Broome	""
L102	Loerakker	Loerakker W.M.	https://www.ipni.org/ipni/idAuthorSearch.do?id=22488-1
L092	Lütkemüller	Lütkemüller J.	""
DIAN1	Diankenda	Diankenda	""
KENSL	Kensit	Kensit L.	""
CLAU1	Claus	Claus	""
RERA	Razakamalala$Reza	Razakamalala R. & Reza L.	""
BRSNV	Brasnett	Brasnett N.V.	""
BRTEV	Bretschneider	Bretschneider E.	""
SANDE1	Van De Sande	Van De Sande J.	""
T651	Türk	Türk R.	""
ALLAH	Allard	Allard H.A.	https://www.ipni.org/ipni/idAuthorSearch.do?id=20012400-1
SCHGB	Schüch	Schüch G.	https://viaf.org/viaf/282933276/
V203	von Türckheim	von Türckheim H.	https://viaf.org/viaf/17999980/
S045	Shear	Shear C.L.	""
DRNAC	De Roon	De Roon A.C.	""
HENDA	Hendrick	Hendrick A.	""
D456	Durieux	Ch. Durieux	""
CRRGS	Carron	Carron G.	""
LOVE01	Lovett$Lovett$Niblett	Lovett J., Lovett J. & Niblett M.	""
PARIPARI	Parish$Parish	Parish S.B. & Parish W.F.	""
WAISY	Waisel	Waisel Y.	""
GDMEA	Galán de Mera	Galán de Mera A.	""
M066	Möller	Möller F.A.G.J.	""
AGRMR	Aigret$Marechal	Aigret C. & Maréchal A.	""
MACGW	Macgregor	Macgregor W.	https://www.ipni.org/ipni/idAuthorSearch.do?id=20016228-1
SALUTAWA	Salubeni$Tawakali	Salubeni A.J. & Tawakali E.J.	""
VSM	Von Statzer	Von Statzer M.	""
BUCH1	Buchanan	Buchanan J.	""
K090	Kloen	Kloen H.	""
K089	van der Knaap$van Dobben	van der Knaap W. O. & van Dobben H. F.	""
J989	Jayasuriya	Jayasuriya A.H.M.	""
DLMER	Delamare	Delamare E.A.	https://www.ipni.org/ipni/idAuthorSearch.do?id=40208-1
BOTTOMLEY	Bottomley	Bottomley A.M.	https://www.ipni.org/ipni/idAuthorSearch.do?id=16386-1
B039	Brzezinski	Brzezinski J.P.	""
B181	Buchinger	Buchinger M.	""
SYBEA	Syberg	Syberg A.	""
VKE	Van Kerkhoven	Van Kerkhoven E.	""
VRL	Van Raes	Van Raes L.M.J.	""
B040	Bjørnstad	Bjørnstad A.B.	""
BAMPP	Bamps	Bamps P.	https://viaf.org/viaf/41836216/
S752	Svihla	Svihla Ruth D.	""
DWBAK	de Wilde$de Wilde-Bakhuizen	de Wilde J.J.F.E. & de Wilde-Bakhuizen R.W.	""
C889	Cadet	Cadet T.	""
A222	Adema	Adema F.A.C.B.	""
H045	Havermans	Havermans	""
RANDR	Rand	Rand R.F.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/8bd2fa35-83e2-4cb7-9ef1-3cd87357c177
EWNGKM	Ewango$Gakima	Ewango C.E.N. & Gakima J.B.	""
HNGTE	Hanquet	Hanquet E.	""
MAIRK	Mair	Mair Knowles	""
KLEE01	Kleesadl$Kupka	Kleesadl G. & Kupka H.	""
W025	Watling	Watling R.	""
THIEC	Thiebaut	Thiebaut Charles	""
DEVIA	Deville	Deville A.	http://www.wikidata.org/entity/Q62990388
BRQT	Briquet	Briquet John I.	""
FRLPB	Fairall	Fairall P.	""
OSTEF	Ostermeyer	Ostermeyer Franz	""
GOTT03	Gottschlich$Muer	Gottschlich G. & Muer T.	""
PREJN	Parie	Parie J.	""
PIEMKEPH	Piemeisel$Kephart	Piemeisel Robert Louis & Kephart Leonard W.	""
CABRA1	Cabra	Cabra A.	https://viaf.org/viaf/67673096/
CLIFA	Clifford	Clifford A.D.	""
SCHAP	Schäfer	Schäfer P.A.	https://viaf.org/viaf/215117277/
KRUME	Krummel	Krummel E.	""
HOSKAP	Hostmann$Kappler	Hostmann W.R. & Kappler A.	""
BUCHO1	Buchtien	Buchtien O.	https://www.ipni.org/ipni/idAuthorSearch.do?id=1255-1
JOHNCONS	Johnson$Constable	Johnson L.A.S. & Constable E.F.	""
KTCLN	Kitching	Kitching L.	""
WRIGJ	Wright	Wright J.M.	""
OLSON	Olson	Olson	""
NIENE	Nienaber	Nienaber E.P.	""
STEIN	Steinheil	Steinheil Ad.	""
CHARL1	Charrel	Charrel L.	""
H111	Huuskonen$Huuskonen	Huuskonen A.J. & Huuskonen O.	""
R087	Roivainen	Roivainen A.	""
RDCRL	Ronse de Craene	Ronse de Craene L.	""
OLORJ	Olorunfemi	Olorunfemi J.	""
PRIGM	Prignon	Prignon M.	""
MRTNGLDHLL	Morton$Gledhill	Morton & Gledhill	""
PITTBIOL	Pittier$Biolley	Pittier H. & Biolley P.	""
SKUTA	Skutch	Skutch A.F.	""
SMOOL	Smook	Smook Lynette	""
LLOYC	Lloyd	Lloyd C.G.	""
L141	Lupton	Lupton F.	""
SONKTA	Sonké$Taedoumg	Sonké B. & Taedoumg	""
B002	Bas	Bas C.	""
BRENJ	Brenan	Brenan J.P.M.	https://viaf.org/viaf/60099664/
FADE05	Faden$Beentje$Ndiang'ui$Mutangah$Nyankundi	Faden R.B., Beentje H.J., Ndiang'ui N., Mutangah J. & Nyankundi D.O.	""
M898	Matteri	Matteri C.M.	""
HARRW	Harris	Harris W.H.	https://www.ipni.org/ipni/idAuthorSearch.do?id=3679-1
S996	Schlegel	Schlegel H.A.L.	""
N008	Nocolas	Nocolas Montero	""
N024	Nannenga-Bremekamp$Yamamoto$Sharma	Nannenga-Bremekamp N., Yamamoto Y. & Sharma R.	""
G054	Genard	Genard F.	""
B192	Beenken$Iosifidou	Beenken L. & Iosifidou, P.	""
B165	Borza$Péterfi	Borza A. & Péterfi M.	""
FSSJN	Fossiez	Fossiez J.	""
RBNSM	Rabijns	Maria Rabijns	""
COURG	Cours	Cours G.	https://viaf.org/viaf/189529221/
GILLH	Gillet	Gillet H.	""
MORI1	Mori	Mori	""
BRITH	Britten	Britten H.L.	""
H997	Huuskonen	Huuskonen O.	""
WED001	Wedin	Mats Wedin	""
B267	Bleij$Biesmeijer	Bleij B. & Biesmeijer J.C.	""
TDMGEH	Taedoumg	Taedoumg E.H.	http://www.wikidata.org/entity/Q36579518
DCLJ	De Clerck	De Clerck J.	""
MONTJ3	Montes	Montes J.E.	""
BARTJ	Barth	Barth J.	""
MONTG	Montserrat	Montserrat G.	""
WEBB01	Webb$Akeroyd$Jury	Webb D., Akeroyd J. & Jury S.	""
BURGW	Burger	Burger W.	""
D500	Duvivier	Duvivier J.-P.	""
LOBAN	Lobato	Lobato N.	""
MAGALHAES	Magalhães	Magalhães Gomes	""
TENNJ	Tennent	Tennent John	""
D011	Davey	Davey D.	""
GTKMT	Gotink	Gotink M.	""
ADMGR	Adamonyte	Adamonyte G.	""
CRISTHON	Crispiels-Thonon$Thonon	Crispiels-Thonon & Thonon	""
MATHS	Mathenge	Mathenge S.G.	""
SHERB	Sherry	Sherry B.Y.	""
LUDW1	Ludwig	Ludwig	""
B088	De Bruyn	De Bruyn U.	""
LADE02	Ladero$Navarro	Ladero M. & Navarro F.	""
VINP	Vin	Vin P.	""
GRANH1	Grant	Grant H.F.	""
LAZAY	Lazar	Lazar Yussef	""
VLZ	Véliz	Véliz Mario Esteban	""
LUTKP	Lütken	Lütken P.	""
L135	Lantieri	Lantieri Angela	""
A048	Aigret	Aigret C.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2cd5e4cc-4436-418a-a01b-7b7f42d89f77
DUBOJ	Dubois	Dubois J.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b109157d-b24d-422b-9cb4-0f29749e3e04
WILLG	Williams	Williams G.R.	""
V252	Van Herbruggen	Van Herbruggen L.	""
JAMEW	Jameson	Jameson W.	""
B898	Bonnot$Verdus	E.-j... Bonnot & M.-cl.... Verdus	""
PIENB	Pienaar	Pienaar B.J.	http://www.ipni.org/ipni/idAuthorSearch.do?id=35597-1
RKTDR	Rakotondrafara	Rakotondrafara A.	""
P501	Paelickx	Paelickx D.	""
VCASS	Assis	Assis V.	""
BORDT	Borden	Borden T.	""
CHARJACQ	Charpin$Jacquemoud$Jeanmonod	Charpin A., Jacquemoud F. & Jeanmonod D.	""
SORI02	Soriano$Pérez$Güemes$Crespo$Paura$Manso	Soriano P., Pérez R., Güemes J., Crespo M., Paura B. & Manso M.	""
BFCRVV	Billiet$Cnop$Vanderborght$Vanhecke	Billiet F., Cnop R., Vanderborght T. & Vanhecke L.	""
C008	Carrichon	Carrichon J.	""
B034	Bohus	Bohus G.	""
C064	Courtecuisse	Courtecuisse R.	""
RUDAA	Rudatis	Rudatis A.	""
MOYESANA	Moyer$Sanane	Moyer D. & Sanane D.	""
OFFEP	Offermann	Offermann P.	""
HRP1	Hora	Hora F.	""
T998	Thiry	Fr. Thiry	""
ZIETP	Zietsman	Zietsman P.C.	""
SIMWP	Simwanda	Simwanda P.	""
GUILA	Guillarmod	Guillarmod A.J.	""
LOVETHOM	Lovett$Thomas	Lovett J. & Thomas D.W.	""
SYNNT	Synnott	Synnott T.J.	""
BNTEE	Bonte	Bonte E.	""
M784	May	May E.	""
SCHUBLA	Evans Schultes$Black	Evans Schultes R. & Black G. A.	""
JELIA	Jelinek	Jelinek Anton	https://www.ipni.org/ipni/idAuthorSearch.do?id=4462-1
MATT1	Mattatia	Mattatia	""
BEBBR	Bebb	Bebb R.	""
MACEA	MacElwee	MacElwee Alexander	""
PIEKPOLO	Piekos$Polonek	Piekos H. & Polonek K.	""
SANZR	Sanzin	Sanzin Renato	""
RNDMR	Reynders	Reynders M.	""
DCHJP	Dechaume	Dechaume J.-p.	""
KLEIH	Klein	Klein H.	""
COLLJ1	Collet	Collet J.	""
RASRAS	Rasoavimbahoaka$Rastefanonirina	Rasoavimbahoaka F. & Rastefanonirina J.A.	""
JNMRM	Maloti ma Songo	Maloti ma Songo J.-M.	""
BKPHRK	Bürki$Phillipson$Rakotovao	Bürki S., Phillipson P.B. & Rakotovao C.	""
CORTJ	Cortey	Cortey J.	""
KAURS	Kaure	Kaure S.M.	""
VACAA	Vaca	Vaca A.A.	""
B099	Brown	Brown K.W.	""
S182	Stadler$Wollweber	Stadler M. & Wollweber H.	""
B084	Bourgin	Bourgin	""
B110	Bonar$Bonar	Bonar L. & Bonar M.	""
B109	Barbour	Barbour W.C.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6eda6b2d-959b-4d97-9af6-fb61eb2ee3b8
A999	Andersen$Hansen	Andersen J. & Hansen E.S.	""
HOLMHOLM	Holm$Holm	Holm Kerstin & Holm Lennart	""
CHESC	Cheseny	Cheseny C.M.	""
SCEMC	Strail$Malaise	Strail C.A. & Malaise C.	http://www.wikidata.org/entity/Q5764804
ALDOG	Aldobrandi	Aldobrandi G.	""
L043	Larsen	Larsen J.	""
B175	Breukel	Breukel	""
BDSTBP	Bidault$Stévart$Boupoya$Nguema$Lissambou	Bidault E., Stévart T., Boupoya A., Nguema D. & Lissambou B.	""
SIMT	Sim	Sim T.R.	http://viaf.org/viaf/20209164
KABUEVAN	Kabuye$Evans	Kabuye C. & Evans A.	""
BARRR	Barrett	Barrett R.L.	""
MEND	Mendoza	Mendoza D. R.	""
RA11	Back	Back E. H.	""
IRWIHARL	Irwin$Harley$Onishi	Irwin Howard Samuel, Harley R.M. & Onishi E.	""
SHOCW	Shockley	Shockley W.H.	""
M017	Mitchell	Mitchell A.	""
BATT01	Batters	Batters E.	""
HARSAK	Harder$Schmidt$Amponsah$Kipo	Harder D.K., Schmidt H.H., Amponsah J. & Kipo A	""
SIMO01	Simon$Mollel	Simon G. & Mollel I.L.	""
G065	Groves$Pantidou$Elliott	Groves, Pantidou M. & Elliott	""
N018	Neger	Neger F.W.	https://viaf.org/viaf/13087567/
SCHM05	Schmula$Fuchs	Schmula S. & Fuchs B.	""
MUNCR	Munch	Munch R.C.	""
BRMCN	Brummitt$Chisumpa$Nshingo	Brummitt R.K., Chisumpa S.M. & Nshingo C.	""
HELMR	Helms	Helms Richard	https://www.ipni.org/ipni/idAuthorSearch.do?id=13290-1
AMANI	Amani	Amani C.	https://orcid.org/0000-0002-7474-2213
KERA01	Keraudren-Aymonin$Aymonin	Keraudren-Aymonin M. & Aymonin G.G.	""
VANC	Van Caekenberghe	Van Caekenberghe F.	http://www.wikidata.org/entity/Q62990427
GODDR	Godding	Godding R.	""
BALLS	Ball	Ball S.S.	""
GANDC	Gandrille C.	Gandrille C.	""
PRGAG	Progel	Progel A.	""
GOLLW	Goll	Goll W.	""
T063	Tosh	Tosh J.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/36af7683-9fc1-4020-baee-8bcfab4052d5
S963	Schüepp	Schüepp H.	""
ABOTG	Abot	Abot G.	""
CZETA	Czétz	Czétz A.	""
GRYSEELSK	Gryseels	Gryseels K.	""
HINTG	Hinton	Hinton G.B.	""
KOHLO	Köhler	Köhler Oscar Eugène	""
PORTP	Porta	Porta P.	""
H741	Hegetschweiler	Hegetschweiler J.J.	""
H078	Hochgesand$Gottsberger$Nannenga-Bremekamp	Hochgesand E., Gottsberger G.K. & Nannenga-Bremekamp N.	""
L211	Lecomte	Lecomte H.	https://www.ipni.org/ipni/idAuthorSearch.do?id=5388-1
ZHZZ	Zhou	Zhou Z.Z.	""
FRRZC	Furrer-Ziogas	Furrer-Ziogas C.	https://www.ipni.org/ipni/idAuthorSearch.do?id=19050-1
ZOUDE	Sluijs-Vanzielst	Sluijs-Vanzielst	""
S528	Suzuki	Suzuki T.	""
BRTMD	Bertoni	Bertoni M.D.	""
LAGNA	Lagny	Lagny A.	""
S078	Sellschop	Sellschop J.	""
BDLCKL	Bidault$Lachenaud$Ikabanga$Lafferty	Bidault E., Lachenaud O., Ikabanga D. & Lafferty I.	""
SACLC	Sacleux	Sacleux C.	http://viaf.org/viaf/305406145
SPERT	Sperry	Sperry T.	https://viaf.org/viaf/14151246596644132420/
HARLW	Harley	Harley W.J.	""
WESE1	Weselsky	Weselsky	""
C253	Chown$Marshall	Chown S.L. & Marshall D.J.	""
BRNTH	Brandt	Brandt Th.	""
DMSAD	Damseaux	Damseaux A.	""
WNTJC	Went	Went J.C.	""
CORRR	Corradi	Corradi R. (B.G.R.)	""
GLHM	Gillett$Hemming	Gillett J.B. & Hemming C.F.	""
TACKBOUL	Täckholm$Boulos$Zahran	Täckholm VIvi, Boulos L. & Zahran M.	""
WAGNJ	Wagner	Wagner J.	""
HOWAR	Howard	Howard R.A.	""
VYVER	Vyvey	Vyvey R.	""
LAMB09	Lambinon$Renard	Lambinon J. & Renard R.	""
LAMB10	Lambinon$Bellote$Monfort	Lambinon J., Bellote W. & Monfort J.	""
BLAN04	Blanco$López	Blanco P. & López G.	""
R076	Rorer	Rorer R.J.B.	""
GERAC1	Gerard	Gerard C.	""
WERLC	Werlen	Werlen C.	""
L200	Le Jeunei	Le Jeunei	""
LELEN	Leleup	Leleup N.	""
MANGA	Mangara	Mangara A.	""
MAKAV	Makarov	Makarov V.V.	""
KFTGT	Kraft	Kraft G.T.	""
HOPKJ	Hopkins	Hopkins J.C.F.	""
MURI1	Muriithi	Muriithi	""
LYEKATE	Lye$Katende	Lye K.A. & Katende A.B.	""
HCHSC	Hochstetter	Hochstetter C.F.F.	""
B854	Baert	Baert P.	""
MARQL	Marques	Marques L.	""
CARDJ1	Cardot	Cardot J.	https://www.ipni.org/ipni/idAuthorSearch.do?id=1396-1
BUJOG	Bujorean	Bujorean G.	http://www.wikidata.org/entity/Q12729092
MART1	Martin	Martin	""
MOORH	Moore	Moore H.E.	""
H144	Hillmann	Hillmann J.	https://www.ipni.org/ipni/idAuthorSearch.do?id=3952-1
HAYW	Hay	Hay W.	""
REID1	Reid	Reid C.	""
WOLFG	Wolff	Wolff G.	""
OSRCH	Van Ooststroom$Reichgelt	van Ooststroom S.J. & Reichgelt Th.	""
COLLO	Collin	Collin O.	""
N764	Niezabitowski	Niezabitowski E.	https://www.ipni.org/ipni/idAuthorSearch.do?id=33678-1
RENVA	Renvall	Renvall A.	""
B176	Bickerick	Bickerick	""
H062	Henrard	Henrard J.T.	""
KMOC1	Kmoch	Kmoch	""
MCHAP	Michelmore	Michelmore A.	""
SILUL	Silungwe	Silungwe L.	""
TOLLEY	Tolley	Tolley M.D.	""
SMTH	Smith	Smith J.D.	""
H203	Hyde	Hyde K.	""
STON01	Stone$Walters$Nang-Essome$Mintsa$Ndong	Stone J., Walters G.M., Nang-Essome G., Mintsa A. & Ndong L.	""
JEO	Jeole	Jeole Ahmad	""
GFIEW	Gugnacka-Fiedor	Gugnacka-Fiedor W.	""
VIVID	Viviani	Viviani Domenico	""
DMSMS	Davidse$Monro$Sidwell$Martinez$Salazar	Davidse G., Monro A.K., Sidwell K., Martinez H. & Salazar C.	""
BRDN	Brand	Brand R.	""
MWAN17	Mwangangi$Kanuri	Mwangangi O.M. & Kanuri F.	""
BOZEJ	Bozeman	Bozeman John R.	""
HOULB	Houllet	Houllet B.	""
LADE13	Ladero$Socorro$Molero$Hurtado	Ladero M., Socorro O., Molero J. & Hurtado J.	""
F053	Fritsch$Rechinger	Fritsch K. & Rechinger K.	""
R212	Rakotozafy	Rakotozafy A.	https://www.ipni.org/ipni/idAuthorSearch.do?id=25258-1
PAVE01	Pavesi$Millozza$Zucconi	Pavesi A., Millozza A. & Zucconi L.	""
GNSMN	Gansemans	Gansemans J.	""
DONAG	Donald	Donald G.H.	""
LEACCANN	Leach$Cannell	Leach L.C. & Cannell C.	""
S795	Stefureac	Stefureac T.I.	http://viaf.org/viaf/317196407
VDKNAAP	Van der Knaap	Van der Knaap W.O.	https://viaf.org/viaf/39145304389278570887/
BRNDR	Bernard	Bernard R.	""
ASHTP	Ashton	Ashton P.S.	""
CSTR	Castroviejo	Castroviejo S.	""
S171	Sâvulescu	Sâvulescu T.	https://viaf.org/viaf/85241635/
DELEG	Delepierre	Delepierre G.	https://viaf.org/viaf/67728449/
FLEID	Fleischer	Fleischer D.	""
O026	Oosterveld	Oosterveld P.	""
SMJHU	Malcomber$Hutcheon$Razafimanantsoa$Zjhra	Malcomber S.T., Hutcheon J., Razafimanantsoa A. & Zjhra M.	""
RBRZA	Rabehevitra$Razakamalala$Andrianarivelo	Rabehevitra D., Razakamalala R. & Andrianarivelo S.N.	""
PLAIA	Plaizier	Plaizier A.C.	""
B268	Boom$Mori	Boom & Mori	""
KNOXE	Knox	Knox E.B.	""
TAGAA	Tagamlitzky	Tagamlitzky A.	""
MLGW	Mlangwa	Mlangwa J.A.	""
B980	Brevière	Brevière L.	""
L999	Lang	Lang G.	http://www.ipni.org/ipni/idAuthorSearch.do?id=21934-1
MEYESLEU	Meyer$Sleumer	Meyer T. & Sleumer H.	""
PAVLL	Pavlick	Pavlick L.E.	""
M109	Magnier	Magnier C.	https://www.ipni.org/ipni/idAuthorSearch.do?id=5980-1
PINKA	Pinkus	Pinkus A.S.	""
LANGA1	Langois	Langois A.B.	""
C080	Chlapowski	Chlapowski F.	""
M099	Martin	Martin G.W.	https://viaf.org/viaf/97146998427418940016/
M110	Maiden	Maiden J.H.	""
LFBMD	Lefebvre	Lefebvre M.	""
RIPAJ	Ripart	Ripart J.	https://www.ipni.org/ipni/idAuthorSearch.do?id=8405-1
BRUM02	Brummitt$Polhill$Patel	Brummitt R.K., Polhill R.M. & Patel I.H.	""
SLLW	Sellow	Sellow F.	https://viaf.org/viaf/88234994/
HRSBG	Hirsenberg	Hirsenberg	""
GRDWT	Gerrard	Gerrard W.T.	""
GRENJ	Grenier	Grenier J.C.M.	https://www.ipni.org/ipni/idAuthorSearch.do?id=3375-1
R037	Raeymaekers	Raeymaekers G.	https://viaf.org/viaf/912154381067430292695/
VELIV	Velízek	Velízek V.	""
VHH	Van Heurck	Van Heurck H.F.	http://viaf.org/viaf/61623849
VHR	Van Hasselt	Van Hasselt R.	""
B077	Batista	Batista A.C.	""
DCABR	De Clerck$Anderson$Boothroyd$Rothman	De Clerck O., Anderson R.J., Boothroyd C. & Rothman M.	""
WILDDRUM	Wild$Drummond	Wild H. & Drummond R.B.	""
DECLP	Declerck	Declerck P.A.G.	""
HOPCD	Hopcraft	Hopcraft D.	""
GOLD01	Goldblatt$Lovett	Goldblatt P. & Lovett J.	""
PRPELEMORA	Prance$Pennington$Leppard$Monteiro$Ramos	Prance G.T., Pennington T.D., Leppard M., Monteiro O.P. & Ramos J.F.	""
ROSER	Rosenbluth	Rosenbluth R.	""
RTTJD	Ratoto	Ratoto J.	""
LIEVA	Lievens	Lievens A.W.	""
HARDP	Hardy	Hardy P.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d74c31c8-bb02-4ba6-9ab6-6825f8efa584
DEUSP	Deuse	Deuse P.	http://www.wikidata.org/entity/Q62990319
BEHRO	Behr	Behr Otto	""
HGNSVNDRBRGT	Haegens$Van der Burgt	Haegens R.M.A.P. & Van der Burgt X.M.	""
J734	De Jonghe	De Jonghe Marie-Paul	""
REITBL	Reitsma$Reitsma$Breteler$Louis	Reitsma J.M., Reitsma B., Breteler F.J. & Louis A.M.	""
GTTR	Guittou	Guittou R.	""
DUNLC	Dunlop	Dunlop C.R.	""
B051	Brooks	Brooks T.E.	""
ROULJ	Rouling	Rouling J.	""
KORNKORN	Kornas$Kornas	Kornas A. & Kornas J.	""
HEGEF	Hegelmaier	Hegelmaier F.	""
CESHMSTA	Earle$Smith$Arrauz	Earle C. Jr. Smith, H. Morgan, Arrauz Tule	""
HRDLZ	Harder$Luwiika$Zimba	Harder D.K., Luwiika B. & Zimba N.	""
SOLER	Soleman	Soleman R.	""
ABDAMBOYVOLL	Abdallah$Mboya$Vollesen	Abdallah R., Mboya E. & Vollesen K.	""
